#Scan#,PRIMARY_NAME,NEUTRAL MONOISOTOPIC MOLECULAR MASS,M+H,around_2...5,RT(min),BIRMINGHAM-UHPLC-MS-POS.mgf,CMMC-FOOD-BIOMARKERS.mgf,GNPS-LIBRARY.mgf,GNPS-NUTRI-METAB-FEM-POS.mgf,GNPS-NIST14-MATCHES.mgf,LEAFBOT.mgf,MONA.mgf,BMDMS-NP.mgf,GNPS-MSMLS.mgf,MASSBANK.mgf,MCE-DRUG.mgf,MSNLIB-POSITIVE.mgf,BERKELEY-LAB.mgf,GNPS-SCIEX-LIBRARY.mgf,PSU-MSMLS.mgf,WINE-DB-ORBITRAP.mgf,RESPECT.mgf,GNPS-EMBL-MCF.mgf,GNPS-N-ACYL-LIPIDS-MASSQL.mgf,WINE-DB-QTOF.mgf,LDB_POSITIVE.mgf,GNPS-ALKYLAMINES-LIBRARY.mgf,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE.mgf,ECG-ACYL-AMIDES-C4-C24-LIBRARY.mgf,DMIM-DRUG-METABOLITE-LIBRARY.mgf,GNPS-ION-MOBILITY-LIBRARY.mgf,GNPS-SAM-SIK-KANG-LEGACY-LIBRARY.mgf,GNPS-REFRAME-DRUG-CCS-LIBRARY.mgf,BIRMINGHAM-UHPLC-MS-NEG.mgf,WFSR-LIBRARY.mgf,CASMI.mgf,MASSBANKEU.mgf,GNPS-SELLECKCHEM-FDA-PART1.mgf,GNPS-NIH-NATURALPRODUCTSLIBRARY.mgf,GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE.mgf,PHENOLICSDB.mgf,TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf,GNPS-SELLECKCHEM-FDA-PART2.mgf,MIADB.mgf,BILELIB19.mgf,GNPS-ION-MOBILITY-LIBRARY-FILTERED.mgf,PNNL-LIPIDS-POSITIVE.mgf,GNPS-IOBA-NHC.mgf
1199,ALLANTOIN,158.043990078,159.051815078,159.05,1.03,Allantoin - 40.0 eV,,,,,,,,,,,,allantoin CollisionEnergy:102040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,INDOLEACETALDEHYDE,159.068413915,160.076238915,160.08,6.605,,,INDOLE-3-ACETALDEHYDE - 50.0 eV | INDOLE-3-ACETALDEHYDE - 60.0 eV | INDOLEACETALDEHYDE | INDOLE-3-ACETALDEHYDE - 70.0 eV,,,,,,INDOLEACETALDEHYDE,Massbank:PT102540 Indole-3-acetaldehyde sodium bisulfite|1-hydroxy-2-(1H-indol-3-yl)ethanesulfonic acid | Massbank:PR100147 Indole-3-acetaldehyde,,,indole-3-acetaldehyde CollisionEnergy:102040 | indole-3-acetaldehyde CollisionEnergy:205060,,,,ReSpect:PT102540 Indole-3-acetaldehyde sodium bisulfite|1-hydroxy-2-(1H-indol-3-yl)ethanesulfonic acid|1-hydroxy-2-(1H-indol-3-yl)ethanesulfonic acid,,,,,,,,,,,,,,,,,,,,,,,,,,
2192,N-ACETYLCYSTEINE,163.030313849,164.038138849,164.04,3.127,N-Acetyl-L-cysteine - 40.0 eV,,N-ACETYL-L-CYSTEINE - 40.0 eV | N-ACETYL-L-CYSTEINE - 20.0 eV | N-ACETYL-L-CYSTEINE - 30.0 eV | N-ACETYL-L-CYSTEINE - 50.0 eV | N-ACETYL-L-CYSTEINE - 60.0 eV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,"2,4-DIHYDROXYPTERIDINE",164.033426,165.041251,165.04,3.556,,,"2,4-DIHYDROXYPTERIDINE - 40.0 eV | 2,4-DIHYDROXYPTERIDINE - 20.0 eV | 2,4-DIHYDROXYPTERIDINE - 30.0 eV | 2,4-DIHYDROXYPTERIDINE - 50.0 eV | 2,4-DIHYDROXYPTERIDINE - 60.0 eV | 2,4-DIHYDROXYPTERIDINE - 70.0 eV",,,,,,"""2,4-DIHYDROXYPTERIDINE""",,,,Lumazine CollisionEnergy:102040 | Lumazine CollisionEnergy:205060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,PHENYLALANINE,165.078978601,166.086803601,166.09,4.991,L-(-)-Phenylalanine - 40.0 eV,Cinnamic acid (known structural isomers: 1; isobaric peaks in run: 1),Phenylalanine | PHENYLALANINE | Phenylalanine - 50.00 eV | Phenylalanine - 40.00 eV | Phenylalanine - 20.00 eV | Phenylalanine - 30.00 eV | Phenylalanine - 60.00 eV | Phenylalanine - 70.00 eV,,Spectral Match to DL-Phenylalanine from NIST14,,PHENYLALANINE,,PHENYLALANINE,Massbank:UA005501 L-Phenylalanine|(2S)-2-Azaniumyl-3-phenylpropanoate | Massbank:PB000408 Phenylalanine|2-amino-3-phenylpropanoic acid | Massbank:CE000283 Phenylalanine | Massbank:PB000407 Phenylalanine|2-amino-3-phenylpropanoic acid | Massbank:RP000401 L-Phenylalanine|(2S)-2-azaniumyl-3-phenylpropanoate | Massbank:RP000402 L-Phenylalanine|(2S)-2-azaniumyl-3-phenylpropanoate,L-phenylalanine | D-phenylalanine,L-phenylalanine | D-phenylalanine,DL-PHENYLALANINE CollisionEnergy:205060 | L-phenylalanine CollisionEnergy:205060 | DL-PHENYLALANINE CollisionEnergy:102040 | L-phenylalanine CollisionEnergy:102040,,,Phenylalanine_(L-),,L-PHENYLALANINE | Phenylalanine,,Phenylalanine_(L-)_20EV,,,,,,,,,,,,,,,,,,,,,,,
852,CYSTEATE,169.004493029,170.012318029,170.01,0.89,furoic acid - 40.0 eV | furoic acid - 30.0 eV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,S-CARBOXYMETHYLCYSTEINE,179.025228471,180.033053471,180.03,1.045,Carbocysteine - 40.0 eV,,S-CARBOXYMETHYL-L-CYSTEINE - 50.0 eV | S-CARBOXYMETHYL-L-CYSTEINE - 40.0 eV | S_CARBOXYMETHYLCYSTEINE | S-CARBOXYMETHYL-L-CYSTEINE - 30.0 eV | S-CARBOXYMETHYL-L-CYSTEINE - 60.0 eV | S-CARBOXYMETHYL-L-CYSTEINE - 20.0 eV,,,,S-CARBOXYMETHYL-CYSTEINE,,S-CARBOXYMETHYLCYSTEINE,Massbank:PT103380 L-Carbocisteine|(2R)-2-amino-3-(carboxymethylsulfanyl)propanoic acid|S-Carboxymethyl-L-cysteine|PSCMC|L-Carboxymethylcysteine|Mucodyne | Massbank:PR100199 S-Carboxymethyl-L-cysteine|PSCMC|L-Carbocisteine|L-Carboxymethylcysteine|Mucodyne,,,S-Carboxymethyl-L-cysteine CollisionEnergy:102040,,,,ReSpect:PT103380 S-Carboxymethyl-L-cysteine|PSCMC|L-Carbocisteine|L-Carboxymethylcysteine|Mucodyne|(2R)-2-amino-3-(carboxymethylsulfanyl)propanoic acid,S-CARBOXYMETHYL-L-CYSTEINE,,,,,,,,,,,,,,,,,,,,,,,,,
2085,TYROSINE,181.073893223,182.081718223,182.08,2.415,L-(-)-Tyrosine - 40.0 eV | YP2278000 - 40.0 eV,p-Coumaric acid (known structural isomers: 1; isobaric peaks in run: 4) | p-Coumaric acid (known structural isomers: 1; isobaric peaks in run: 2),Tyrosine - 50.00 eV | Tyrosine - 40.00 eV | TYROSINE | Tyrosine - 60.00 eV | Tyrosine | Tyrosine - 30.00 eV | Tyrosine - 70.00 eV | L-TYROSINE - 60.0 eV | Tyrosine - 20.00 eV | L-TYROSINE - 50.0 eV | L-TYROSINE - 40.0 eV | L-TYROSINE - 70.0 eV,,Spectral Match to L-Tyrosine from NIST14,,TYROSINE,,TYROSINE,Massbank:CE000230 Tyrosine | Massbank:UA005601 L-Tyrosine|(2S)-2-Azaniumyl-3-(4-hydroxyphenyl)propanoate | Massbank:RP000302 L-Tyrosine|(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid | Massbank:PB000412 Tyrosine|2-amino-3-(4-hydroxyphenyl)propanoic acid | Massbank:CE000231 Tyrosine | Massbank:PB000413 Tyrosine|2-amino-3-(4-hydroxyphenyl)propanoic acid | Massbank:CE000227 Tyrosine | Massbank:PR311157 Tyrosine | Massbank:CE000229 Tyrosine,D-tyrosine | D-tyrosine (Chimeric precursor selection),L-tyrosine | D-tyrosine | D-tyrosine (Chimeric precursor selection),L-tyrosine CollisionEnergy:102040,,,Tyrosine_(L-),ReSpect:PM018192 Tyrosine,L-TYROSINE | Tyrosine,,Tyrosine_(L-)_20EV,,Glycine_Salicylaldehyde (known isomers: 0; isobaric peaks in run: 2),,,,,,,,,,,,,,,,,,,,,
958,PHOSPHORYLCHOLINE,184.07387,185.081695,185.08,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,"N,N,N-TRIMETHYLLYSINE",188.152477894,189.160302894,189.16,0.871,,,,,,,"""NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE""",,"""N,N,N-TRIMETHYLLYSINE""",,,,Trimethyllysine CollisionEnergy:102040,,"""NE,NE,NE-TRIMETHYLLYSINE""",,,"""NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE""",,,,,,,,,,,,,,,,,,,,,,,,,
729,DIAMINOPIMELATE,190.095356946,191.103181946,191.1,0.878,"DL-2,6-Diaminopimelic acid - 40.0 eV",,"DIAMINOPIMELATE | 2,6-DIAMINOHEPTANEDIOATE - 50.0 eV | 2,6-DIAMINOHEPTANEDIOATE - 40.0 eV | 2,6-DIAMINOHEPTANEDIOATE - 60.0 eV | 2,6-DIAMINOHEPTANEDIOATE - 30.0 eV | 2,6-DIAMINOHEPTANEDIOATE - 20.0 eV | 2,6-DIAMINOHEPTANEDIOATE - 70.0 eV",,,,"""2,6-DIAMINOHEPTANEDIOIC ACID""",,,,,,14289-34-0 CollisionEnergy:102040,,"""LL-2,6-DIAMINOHEPTANEDIOATE""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,QUINATE,192.063388116,193.071213116,193.07,1.097,,,Quinic Acid,QuinicAcid,,,QUINIC ACID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,GLUCOSAMINATE,195.074289,196.082114,196.08,0.884,,,GLUCOSAMINATE | GLUCOSAMINATE - 40.0 eV | GLUCOSAMINATE - 50.0 eV | GLUCOSAMINATE - 30.0 eV | GLUCOSAMINATE - 20.0 eV | GLUCOSAMINATE - 60.0 eV | GLUCOSAMINATE - 70.0 eV,,,,GLUCOSAMINIC ACID,,GLUCOSAMINATE,,,,D-Glucosaminic acid CollisionEnergy:102040,,GLUCOSAMINATE,,,GLUCOSAMINATE,,,,,,,,,,,,,,,,,,,,,,,,,
1026,GLUCONATE,196.058302738,197.066127738,197.07,0.974,,gluconic acid (known structural isomers: 0; isobaric peaks in run: 0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3398,SEBACATE,202.12051,203.128335,203.13,10.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3355,LIPOAMIDE,205.059505487,206.067330487,206.07,9.979,Lipoamide - 40.0 eV,,LIPOAMIDE - 50.0 eV | LIPOAMIDE - 40.0 eV | LIPOAMIDE - 60.0 eV | LIPOAMIDE - 30.0 eV | LIPOAMIDE - 70.0 eV,,,,LIPOAMIDE,,,,,,lipoamide CollisionEnergy:205060 | lipoamide CollisionEnergy:102040,,,,,,,,,,,,,,,,,,Lipoamide,,,,,,,,,,,,
2202,2-METHYLCITRATE,206.04265,207.050475,207.05,3.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115,N-ACETYLPHENYLALANINE,207.089543287,208.097368287,208.1,8.485,N-Acetyl-L-phenylalanine - 40.0 eV,,N-ACETYL-L-PHENYLALANINE - 30.0 eV | N-ACETYL-L-PHENYLALANINE - 40.0 eV | N-ACETYL-L-PHENYLALANINE - 20.0 eV | N-ACETYL-L-PHENYLALANINE - 50.0 eV,,"Spectral Match to L-Phenylalanine, N-acetyl- from NIST14",,N-ACETYL-PHENYLALANINE,,N-ACETYLPHENYLALANINE,,,N-Acetyl-DL-phenylalanine,N-Acetyl-L-phenylalanine CollisionEnergy:205060 | N-Acetyl-L-phenylalanine CollisionEnergy:102040,,,,,,Candidate Phenylalanine-C2:0 (delta mass:42.0106) | Candidate Phenylalanine-C2:0 (delta mass:42.0108) | Candidate Phenylalanine-C2:0 (delta mass:42.0112) | Candidate Phenylalanine-C2:0 (delta mass:42.0111) | Candidate Phenylalanine-C2:0 (delta mass:42.011) | Candidate Phenylalanine-C2:0 (delta mass:42.0113) | Candidate Phenylalanine-C2:0 (delta mass:42.0123) | Candidate Phenylalanine-C2:0 (delta mass:42.0107) | Candidate Phenylalanine-C2:0 (delta mass:42.0103) | Candidate Phenylalanine-C2:0 (delta mass:42.0109) | Candidate Phenylalanine-C2:0 (delta mass:42.0105) | Candidate Phenylalanine-C2:0 (delta mass:42.0101) | Candidate Phenylalanine-C2:0 (delta mass:42.0114) | Candidate Phenylalanine-C2:0 (delta mass:42.0104) | Candidate Phenylalanine-C2:0 (delta mass:42.0102) | Candidate Phenylalanine-C2:0 (delta mass:42.0098) | Candidate Phenylalanine-C2:0 (delta mass:42.0115),,,,,,,,,,,,,,,,,,,,,,,,
2358,KYNURENINE,208.08479226,209.09261726,209.09,5.007,L-Kynurenine - 40.0 eV,,KYNURENINE - 40.0 eV | KYNURENINE - 50.0 eV | KYNURENINE | KYNURENINE - 30.0 eV | KYNURENINE - 60.0 eV | KYNURENINE - 70.0 eV | KYNURENINE - 20.0 eV,,Spectral Match to L-Kynurenine from NIST14,,Kynurenine | L-kynurenine | KYNURENINE,,KYNURENINE,Massbank:FIO00639 Kynurenine | Massbank:FIO00640 Kynurenine,L-kynurenine | D-Kynurenine,L-kynurenine | D-Kynurenine,L-kynurenine CollisionEnergy:205060 | kynurenine CollisionEnergy:205060 | L-kynurenine CollisionEnergy:102040 | kynurenine CollisionEnergy:102040,,,,,KYNURENINE | L-KYNURENINE,,,,,,,,,,,,,,,,,,,,,,,,,
1027,PHOSPHOCREATINE,211.035806957,212.043631957,212.04,0.968,Creatine phosphate - 40.0 eV,,PHOSPHOCREATINE | PHOSPHOCREATINE - 40.0 eV | PHOSPHOCREATINE - 30.0 eV | PHOSPHOCREATINE - 50.0 eV | PHOSPHOCREATINE - 20.0 eV | PHOSPHOCREATINE - 60.0 eV | CREATINE PHOSPHATE - 30.0 eV | CREATINE PHOSPHATE - 20.0 eV | CREATINE PHOSPHATE - 40.0 eV | PHOSPHOCREATINE - 70.0 eV | CREATINE PHOSPHATE - 50.0 eV,,,,,,PHOSPHOCREATINE,,67-07-2,"Glycine, N-[imino(phosphonoamino)methyl]-N-methyl-",,,,,,PHOSPHOCREATINE | CREATINE PHOSPHATE,,,,,,,,,,,,,,,,,,,,,,,,,
3618,N-ETHYL-5-METHYL-2-(1-METHYLETHYL)-CYCLOHEXANECARBOXAMIDE,211.193614427,212.201439427,212.2,13.38,,,N_ETHYL_5_METHYL_2_1_METHYLETHYL_CYCLOHEXANECARBOXAMIDE | Ethyl menthane carboxamide,,,,,,,Massbank:LU130203 N-Ethyl-4-menthane-3-carboxamide|N-Ethyl-p-menthane-3-carboxamide|N-ethyl-5-methyl-2-propan-2-ylcyclohexane-1-carboxamide | Massbank:LU130204 N-Ethyl-4-menthane-3-carboxamide|N-Ethyl-p-menthane-3-carboxamide|N-ethyl-5-methyl-2-propan-2-ylcyclohexane-1-carboxamide | Massbank:LU130202 N-Ethyl-4-menthane-3-carboxamide|N-Ethyl-p-menthane-3-carboxamide|N-ethyl-5-methyl-2-propan-2-ylcyclohexane-1-carboxamide | Massbank:LU130205 N-Ethyl-4-menthane-3-carboxamide|N-Ethyl-p-menthane-3-carboxamide|N-ethyl-5-methyl-2-propan-2-ylcyclohexane-1-carboxamide | Massbank:LU130201 N-Ethyl-4-menthane-3-carboxamide|N-Ethyl-p-menthane-3-carboxamide|N-ethyl-5-methyl-2-propan-2-ylcyclohexane-1-carboxamide | Massbank:LU130206 N-Ethyl-4-menthane-3-carboxamide|N-Ethyl-p-menthane-3-carboxamide|N-ethyl-5-methyl-2-propan-2-ylcyclohexane-1-carboxamide,,39711-79-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3065,DETHIOBIOTIN,214.131742452,215.139567452,215.14,8.323,,,DETHIOBIOTIN - 70.0 eV | DETHIOBIOTIN - 60.0 eV | DETHIOBIOTIN - 50.0 eV,,,,DETHIOBIOTIN,,,,,,,,DETHIOBIOTIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2963,N-ACETYLSEROTONIN,218.105527702,219.113352702,219.11,7.706,N-Acetylserotonin - 40.0 eV,,N-ACETYLSEROTONIN | N_ACETYLSEROTONIN | N-ACETYLSEROTONIN - 50.0 eV | N-ACETYLSEROTONIN - 40.0 eV | N-ACETYLSEROTONIN - 30.0 eV | N-ACETYLSEROTONIN - 60.0 eV | N-ACETYLSEROTONIN - 20.0 eV | N-ACETYLSEROTONIN - 70.0 eV,,,,N-ACETYL-5-HYDROXYTRYPTAMINE,,N-ACETYLSEROTONIN,,N-Acetyl-5-hydroxytryptamine,N-Acetyl-5-hydroxytryptamine,N-Acetyl-5-hydroxytryptamine CollisionEnergy:205060 | N-Acetyl-5-hydroxytryptamine CollisionEnergy:102040,,N-ACETYLSEROTONIN,,,N-ACETYLSEROTONIN,Candidate Serotonin-C2:0 (delta mass:42.0104) | Candidate Serotonin-C2:0 (delta mass:42.0111) | Candidate Serotonin-C2:0 (delta mass:42.011),,,,,,,,,,,,,,,,MLS000859911-01!N-Acetyl-5-hydroxytryptamine,,,,,,,,
812,CYSTATHIONINE,222.067427636,223.075252636,223.08,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,DEOXYCYTIDINE,227.090605919,228.098430919,228.1,1.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3213,MELATONIN,232.121177766,233.129002766,233.13,9.515,Melatonin - 40.0 eV,,MELATONIN - 40.0 eV | MELATONIN - 50.0 eV | MELATONIN - 30.0 eV | Melatonin | MELATONIN - 20.0 eV | MELATONIN - 60.0 eV,,,,MELATONIN | Melatonin,,MELATONIN,"Massbank:LU096103 Melatonin | Massbank:LU117303 Aminoglutethimide|3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione | Massbank:BML00707 Melatonin | Massbank:LU096102 Melatonin | Massbank:LU096104 Melatonin | Massbank:LU117302 Aminoglutethimide|3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione | Massbank:LU117304 Aminoglutethimide|3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione | Massbank:LU096101 Melatonin",Melatonin,Melatonin,Melatonin CollisionEnergy:205060 | Melatonin CollisionEnergy:102040,,,,,MELATONIN,Candidate 5-methoxytryptamine-C2:0 (delta mass:42.0121),,,,,,,,,,,Melatonin_CE30 | Melatonin_CE15 | Melatonin_CE45,,,,,,,,Melatonin,,,,,
770,CYSTINE,240.023848262,241.031673262,241.03,0.868,L-Cystine - 40.0 eV | L-Cystine - 30.0 eV,,CYSTINE - 30.0 eV | CYSTINE - 40.0 eV | CYSTINE - 20.0 eV | CYSTINE - 50.0 eV | CYSTINE - 60.0 eV,,Spectral Match to L-Cystine from NIST14,,CYSTINE,"(2S,2'S)-3,3'-disulfanediylbis(2-aminopropanoic acid)",CYSTINE,Massbank:CE000598 Cystine | Massbank:PB000446 Cystine|2-amino-3-(2-amino-3-hydroxy-3-oxopropyl)disulfanylpropanoic acid | Massbank:CE000600 Cystine | Massbank:CE000602 Cystine | Massbank:CE000596 Cystine | Massbank:CE000601 Cystine | Massbank:PB000447 Cystine|2-amino-3-(2-amino-3-hydroxy-3-oxopropyl)disulfanylpropanoic acid | Massbank:RP014402 L-Cystine|(2R)-2-azaniumyl-3-[[(2R)-2-azaniumyl-2-carboxylatoethyl]disulfanyl]propanoate | Massbank:CE000599 Cystine,,,L-cystine CollisionEnergy:102040,,CYSTINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,ANSERINE,240.122240398,241.130065398,241.13,0.891,Anserine - 40.0 eV | Anserine - 30.0 eV,,L-ANSERINE - 50.0 eV | ANSERINE | L-ANSERINE - 60.0 eV | L-ANSERINE - 40.0 eV | L-ANSERINE - 30.0 eV | L-ANSERINE - 20.0 eV | L-ANSERINE - 70.0 eV,,,,,,ANSERINE,Massbank:PR100392 L-Anserine|beta-Ala-3-Me-His|beta-Alanyl-3-methyl-L-histidine | Massbank:PT109860 (2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid|beta-Alanyl-3-methyl-L-histidine|L-Anserine nitrate salt|beta-Ala-3-Me-His,,ANSERINE,,,,,ReSpect:PT109860 L-Anserine nitrate salt|beta-Ala-3-Me-His|beta-Alanyl-3-methyl-L-histidine|(2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,CYTIDINE,243.085520541,244.093345541,244.09,1.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3154,N-ACETYLTRYPTOPHAN,246.100442324,247.108267324,247.11,8.922,DL-N-Acetyltryptophan - 40.0 eV,,N_ACETYLTRYPTOPHAN,,,,N-ACETYLTRYPTOPHAN | N-acetyltryptophan,,N-ACETYLTRYPTOPHAN,,,N-Acetyl-L-tryptophan,N-Acetyl-D-tryptophan CollisionEnergy:205060 | N-Acetyl-DL-tryptophan CollisionEnergy:205060 | N-Acetyl-D-tryptophan CollisionEnergy:102040 | N-Acetyl-DL-tryptophan CollisionEnergy:102040,,N-ACETYL-D-TRYPTOPHAN,,,N-ACETYL-D-TRYPTOPHAN,,,,,NCGC00180645-03!2-acetamido-3-(1H-indol-3-yl)propanoic acid,,,,,,,,,,,,,,,,,,,,
1647,PYRIDOXAL-PHOSPHATE,247.024573569,248.032398569,248.03,1.572,Pyridoxal 5'-phosphate - 40.0 eV | Pyridoxal 5'-phosphate - 30.0 eV,,PYRIDOXAL_PHOSPHATE | PYRIDOXAL 5'-PHOSPHATE - 40.0 eV | PYRIDOXAL 5'-PHOSPHATE - 50.0 eV | PYRIDOXAL 5'-PHOSPHATE - 30.0 eV | PYRIDOXAL 5'-PHOSPHATE - 60.0 eV | PYRIDOXAL 5'-PHOSPHATE - 20.0 eV | PYRIDOXAL 5'-PHOSPHATE - 70.0 eV,,,,,,,Massbank:PR100274 Pyridoxal 5'-phosphate|PLP|Pyridoxal-5P|Codecarboxylase|3-Hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde|Pyromijin|Hairoxal|Pidopidon|Pyridoxal 5-phosphate | Massbank:PT104910 Pidopidon|Pyridoxal-5P|PLP|Pyridoxal-5'-phosphate hydrate|(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methyl dihydrogen phosphate|Codecarboxylase|3-Hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecar | Massbank:PR100292 Pyridoxal 5'-phosphate|PLP|Pyridoxal-5P|Codecarboxylase|3-Hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde|Pyromijin|Hairoxal|Pidopidon|Pyridoxal 5-phosphate | Massbank:PT106200 Pidopidon|Pyridoxal-5P|PLP|(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methyl dihydrogen phosphate|Codecarboxylase|3-Hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde|Hairoxal|Pyridoxal,,pyridoxal phosphate,,,,,ReSpect:PT104910 Pyridoxal-5'-phosphate hydrate|PLP|Pyridoxal-5P|Codecarboxylase|Pyridoxal 5-phosphate|3-Hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde|Pyromijin|Hairoxal|Pidopidon|(4-formyl-5-hydr | ReSpect:PT106200 Pyridoxal-5'-phosphate monohydrate|PLP|Pyridoxal-5P|Codecarboxylase|Pyridoxal 5-phosphate|3-Hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde|Pyromijin|Hairoxal|Pidopidon|(4-formyl-5-,,,,,,,,,,,,,,,,,,,,,,,,,,
806,GLUCOSAMINE 6-SULFATE,259.036187087,260.044012087,260.04,0.895,,,GLUCOSAMINE 6_SULFATE | D-GLUCOSAMINE 6-SULFATE - 40.0 eV | D-GLUCOSAMINE 6-SULFATE - 50.0 eV | D-GLUCOSAMINE 6-SULFATE - 30.0 eV | D_GLUCOSAMINE_1_PHOSPHATE,,,,GLUCOSAMINE 6-SULFATE,,GLUCOSAMINE 6-SULFATE,,,,glucosamine 6-sulfate CollisionEnergy:102040,,,,,D-GLUCOSAMINE 6-SULFATE,,,,,,,,,,,,,,,,,,,,,,,,,
956,GLUCOSAMINE 6-PHOSPHATE,259.045702941,260.053527941,260.05,0.862,D-Glucosamine 6-phosphate - 40.0 eV,,GLUCOSAMINE 6_PHOSPHATE | D-GLUCOSAMINE 6-PHOSPHATE SODIUM SALT - 30.0 eV | D-GLUCOSAMINE 6-PHOSPHATE SODIUM SALT - 40.0 eV | D-GLUCOSAMINE 6-PHOSPHATE SODIUM SALT - 50.0 eV | D-GLUCOSAMINE 6-PHOSPHATE SODIUM SALT - 20.0 eV | D-GLUCOSAMINE 6-PHOSPHATE SODIUM SALT - 60.0 eV,,,,GLUCOSAMINE 6-PHOSPHATE,,GLUCOSAMINE 6-PHOSPHATE,"Massbank:PT101193 2-amino-2-deoxy-6-O-phosphono-alpha-D-glucopyranose|D-Glucosamine-6-phosphate sodium salt|[(2R,3S,4R,5R,6S)-5-amino-3,4,6-trihydroxyoxan-2-yl]methyl dihydrogen phosphate | Massbank:PR100068 D-Glucosamine-6-phosphate|2-amino-2-deoxy-6-O-phosphono-alpha-D-glucopyranose",,,D-glucosamine 6-phosphate CollisionEnergy:102040,,D-GLUCOSAMINE 6-PHOSPHATE,,"ReSpect:PT101193 D-Glucosamine-6-phosphate sodium salt|2-amino-2-deoxy-6-O-phosphono-alpha-D-glucopyranose|[(2R,3S,4R,5R,6S)-5-amino-3,4,6-trihydroxyoxan-2-yl]methyl dihydrogen phosphate",,,,,,,,,,,,,,,,,,,,,,,,,,
1129,THIAMINE,265.112306876,266.120131876,266.12,1.012,,,,,,,THIAMINE,thiamine,,,,,,,,,,THIAMINE | Thiamine,,,,,,,,,,,,,,,,,,,,,,,,,
955,6-PHOSPHOGLUCONATE,276.024633148,277.032458148,277.03,0.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,1-METHYLADENOSINE,281.112403993,282.120228993,282.12,5.878,1-Methyladenosine - 40.0 eV,,1_METHYLADENOSINE | 1-METHYLADENOSINE - 50.0 eV | 1-METHYLADENOSINE - 40.0 eV | 1-METHYLADENOSINE - 60.0 eV | 1-METHYLADENOSINE - 70.0 eV,,,,1-Methyladenosine | 1-METHYLADENOSINE,,1-METHYLADENOSINE,"Massbank:RP030702 N6-Methyladenosine|(2R,3S,4R,5R)-2-(hydroxymethyl)-5-[6-(methylamino)purin-9-yl]oxolane-3,4-diol | Massbank:RP031303 1-Methyladenosine | Massbank:RP030703 N6-Methyladenosine|(2R,3S,4R,5R)-2-(hydroxymethyl)-5-[6-(methylamino)purin-9-yl]oxolane-3,4-diol",,N6-Methyladenosine | 1-Methyladenosine,1-Methyladenosine CollisionEnergy:205060 | 1-Methyladenosine CollisionEnergy:102040,,L-METHYLADENOSINE,,,1-METHYLADENOSINE,,,,,,,,,,,,,,,,,,,,,,,,,
